token,count
bah,3
ow,4
i,17
am,1
bad,1
mommy,4
you,23
see,2
my,6
crack,1
sorry,1
something,1
to,16
feel,2
better,2
im,1
just,5
trying,1
x,3
for,1
come,9
on,9
dont,5
go,7
weeee,1
here,1
tyrell,1
lets,2
get,2
some,2
materials,1
we,4
got,1
call,3
dj,1
and,8
pawpaw,1
say,2
hi,2
first,1
why,3
what,2
do,3
mean,1
have,1
them,5
because,1
didn,2
t,2
talk,1
today,1
or,2
yesterday,1
they,7
miss,1
ya,1
love,1
talking,1
us,1
know,14
that,4
right,2
if,2
are,5
there,4
momma,2
m,2
gonna,1
okay,2
press,2
this,3
button,4
ok,1
thatv,1
yea,2
camel,1
hey,1
little,1
smiling,1
boy,1
how,9
sister,2
did,8
gone,1
well,1
where,3
is,3
she,5
a,2
party,4
leave,1
home,1
no,3
went,3
pool,2
the,7
didnt,1
nope,3
with,1
so,2
wait,1
minute,1
swimming,1
breathe,2
in,2
water,2
your,3
face,1
wet,1
only,2
put,2
nose,1
under,1
though,1
whose,1
was,3
it,7
hudson,1
s,4
nooo,1
oren,2
who,3
said,2
owen,1
oh,4
he,3
turn,1
six,1
old,3
uh,1
four,2
can,1
sing,3
happy,2
birthday,2
not,1
decorate,2
eyes,1
cupcake,3
decorated,1
own,1
yup,7
mmm,1
make,1
good,1
yes,3
like,1
eat,1
whole,1
ate,2
icing,1
candy,1
all,1
of,1
decorations,1
huh,1
else,1
came,1
friend,1
